Model,mAP50,mAP50-95,Precision,Recall
baseline,0.2869723030214974,0.22913339899994353,0.3778979521178946,0.3297094803063769
frozen_backbone,0.3205856380906551,0.2684710547363223,0.5659111412809184,0.272587424381554
augmented_fast,0.2724517497682751,0.20804559132713826,0.4143091302087349,0.272378989546407
yolov8m_custom,0.25219554605720074,0.20051574216345006,0.3196467855070674,0.26661681864889897
